,Asian,Black,Hispanic,Other,White,Difference
Selection_rate,0.3169897377423033,0.30047318611987384,0.2850609756097561,0.27419354838709675,0.3004372267332917,
Demographic_Parity_Difference,,,,,,0.04279618935520657
Disparate_impact_ratio,1.057134820056609,1.0020534727811747,0.9506550126911728,0.9144130327352044,1.0019335511713,
True_postive_rate,0.29880478087649404,0.3074866310160428,0.2871287128712871,0.29213483146067415,0.3252375923970433,
True_positive_diff,,,,,,0.0381088795257562
False_postive_rate,0.3242811501597444,0.2975391498881432,0.2841409691629956,0.2669683257918552,0.29002217294900223,
False_positive_diff,,,,,,0.057312824367889204
